geneName,motifNumber,motifPosition,cellType,section_id,pvalue,deltaMedian,motifMedian,typeMedian,numCellMotif,numCellType
Ndrg1,13,1,1,1,7.37673167679384,1.468110374,9.702863829,8.234753455,591,896
Baiap2,13,1,1,1,7.3695037540111,-0.3190234665,1.369136043,1.6881595095,591,896
Ndrg1,2,1,8,2,7.36789345874894,0.5061313185,7.136933639,6.6308023205,382,422
Necab1,2,1,8,2,7.36456401519649,2.24763588500001,34.632832655,32.38519677,382,422
Nos1,21,1,13,4,7.32829543831385,2.046132838,6.637654349,4.591521511,79,233
Nos1,13,1,1,1,7.31138382439,-0.223479521,0.499995651,0.723475172,591,896
Gnrh1,15,1,4,5,7.31010627533108,0.0100837955,0.0296237505,0.019539955,40,242
Man1a,3,1,4,4,7.29418653588916,0.822720172,0.822720172,0,81,167
Sytl4,4,1,6,5,7.26557719115415,0.319498216,2.23310642,1.913608204,323,404
Amigo2,6,1,10,1,7.24982447983122,0.8011062475,5.582335282,4.7812290345,219,326
Coch,21,1,13,5,7.21619318063654,1.492910844,2.378858463,0.885947619,69,178
Ndrg1,21,1,13,5,7.17956594686987,1.0225743245,4.158934335,3.1363600105,69,178
Ndrg1,13,1,1,5,7.17062923002503,1.354464134,7.009953594,5.65548946,511,805
Tac1,11,1,11,3,7.04953911205223,0.016882248,0.036066269,0.019184021,372,510
Cck,13,1,1,2,7.04831755778715,0.0034739635,0.006478393,0.0030044295,674,958
Ucn3,3,1,4,5,7.01069849082787,0.0019305575,0.0067610385,0.004830481,136,242
Tiparp,9,1,13,4,6.99139500913892,0.3918647025,2.6582694645,2.266404762,166,233
Gabra1,2,1,8,1,6.9517793233537,1.042072007,7.38416854,6.342096533,161,214
