Cell_ID,SID,Centroid_X,Centroid_Y,cellType
dae472c5-e0b0-422c-acd0-06e6d7f86c4c,7,-15338.2036336681,-597.251797212283,1
b1a73a41-1b5b-49af-bcf2-c10c50acc365,7,-15335.8517074681,-557.553589212283,5
0107b087-acf0-4bb6-afdc-c4ca7a30cf1d,7,-15321.0389027681,-588.928064212284,1
bc47f80c-2307-4264-8f91-f385d7919aff,7,-15319.1845499681,-516.046616212283,40
640277f3-8138-4f48-a0aa-a0935d8e907f,7,-15315.6870120681,-600.347404212283,2
3a3f134c-6fe1-472d-a5f9-a8175d48026e,7,-15310.7184946681,-552.901167212283,1
8d9bd82a-09a7-40c6-927e-d98b7eb802c2,7,-15299.6150023681,-517.278300212283,2
785b3df8-273d-4ec0-becc-ccffa50cc1c8,7,-15291.1863505681,-672.642799212283,28
5eb5ce1d-3d8f-400a-8795-d83e8cd98596,7,-15286.1556672681,-541.655588212283,1
2e48ffc8-1c1e-4ea1-abf3-e261c5c7bc4c,7,-15282.9965923681,-568.240880212283,1
7e334da7-234d-4cc8-86f9-c86d8f5e3808,7,-15284.3284186681,-486.163746212283,18
e789de1b-8eb0-4a4d-836c-cf1e9589625e,7,-15267.8736299681,-620.574364212283,21
f72eb746-a813-4fab-a756-d773a9585aec,7,-15273.8006020681,-635.451076212283,31
39b3e1a0-c52a-4320-96fb-ff5a230ba151,7,-15274.7264127681,-663.378436212283,1
4fbcdbfc-67ef-4c5b-9372-3dda189ae454,7,-15273.9306976681,-606.336080212283,11
0e87e15f-99b2-4059-adc4-f12adca08fe6,7,-15261.5226772681,-632.209584212283,16
b2c5385e-6cdb-4ac0-939a-6a264e0b917f,7,-15258.2997917681,-663.122018212283,42
fc52a894-faeb-4a10-99b5-be596f5293be,7,-15256.6990875681,-652.558075212283,21
bde2fe10-05c8-4449-96a7-50ffd5a9e9d8,7,-15251.5462474681,-510.860385212283,25
03cf6978-e7ff-4f74-baa1-737be062836a,7,-15249.4747934681,-565.418180212283,7
16049323-908d-48c9-bd8f-12bfcf4afb42,7,-15249.3654978681,-589.484420212284,20
6d381c0b-4da8-469b-a943-3f106cf34a36,7,-15238.6035995681,-663.099624212283,3
b481e172-0c8d-434c-b6c1-80f3ac517593,7,-15238.4170775681,-588.265153212283,62
8927aaa5-ee6c-472e-8ac3-d6c02d2d59a1,7,-15233.5374019681,-545.950236212283,42
adaa6dee-25a8-4400-a869-bf1b73a2e3d5,7,-15234.2142298681,-616.714595212283,21
64a4799b-8e10-44a2-b7b8-81b1c14c6237,7,-15232.3900092681,-650.519419212283,31
10f8716d-d32c-43a4-9062-57de1bd821fb,7,-15231.2918185681,-640.038644212283,48
775a2be0-c854-4439-b1ee-a2b708a3105e,7,-15231.2156141681,-561.343781212283,1
856d2676-4eff-48bf-af95-ac389ab2839a,7,-15226.4189143681,-510.841040212283,1
f7c85045-3ae5-4a11-98e5-e8433cf91880,7,-15220.9975068681,-597.723784212284,21
ec67dea3-15c6-44e7-a5a3-f7eeeaa68def,7,-15212.7567285681,-656.509457212283,1
07a65a4d-3e81-4c9c-8d08-ff0f9ee146de,7,-15210.3730455681,-550.178928212283,8
c91d5674-139d-4061-b845-eb46adf6877b,7,-15205.7983876681,-599.315473212283,11
43a9c667-4ee2-4060-83f7-27659a4e1435,7,-15202.1696167681,-653.323910212283,2
0804e797-609e-4845-a459-2b01cae9ee91,7,-15200.8202124681,-615.444020212283,1
bad98ec5-201f-451c-8a16-d78ee863a9ed,7,-15372.6563515681,-665.957677212283,1
19dcfa6d-6708-4194-9288-1b930653287e,7,-15320.4699479681,-559.006228212283,1
927ebc84-2523-4ca2-a5f1-dfba61cd6579,7,-15312.7529107681,-491.918693212283,31
1d6717c9-4abe-452b-a768-693dfc649d7e,7,-15295.4035696681,-638.772494212283,2
a6b59690-2daa-4693-a194-dfe0981dfeee,7,-15279.9348134681,-607.522460212283,7
c576d639-49a3-44d7-bbab-0b78eb30407d,7,-15248.4794491681,-543.246821212284,28
0bfe1717-6dec-46b5-be11-5f24db7c080f,7,-15247.9015745681,-499.144157212284,10
b16b5d1d-def6-4eae-a5c7-d68610b6bf46,7,-15236.6827616681,-504.528760212283,2
68429a30-86d2-4787-a50a-bac6ab98e171,7,-15195.7714177681,-602.267741212283,3
4f404039-2b2c-4c08-bd78-df8e96c44fc6,7,-15366.3824298681,-485.829766212283,3
95536718-e405-4840-922b-28e3905c5514,7,-15335.5618635681,-624.097938212283,10
a45cc9ae-669b-4ade-b850-120f48320af1,7,-15281.8279459681,-503.097084212283,33
24b4e80b-70fa-401f-a715-6e1a51dd771d,7,-15278.4038719681,-522.159542212283,25
71115564-3d84-4fe1-b393-5c3e84e9db74,7,-15225.3881392681,-504.871809212283,25
39631971-da31-4d6a-90f8-1bced26ab169,7,-15204.7300576681,-577.725364212283,2
c755c396-b172-41b0-9ac4-f9dadf9e1123,7,-15340.2091991681,-660.270501212283,21
0a566ceb-562f-4690-9882-999a313bcb1b,7,-15322.0453625681,-506.059230212283,64
434ee76f-7dda-49be-9cf9-1ca79c9cc10c,7,-15199.6066908681,-536.591768212283,62
c378bcc1-6684-4a5a-8b01-af9a4615964c,7,-15368.9665831681,-658.676062212283,67
55fe9ff2-fc80-4ed1-990f-8ac75b5b078f,7,-15364.3912717681,-527.539114212283,71
f98d5719-8ce2-42b9-8f6d-c8adfabbb23c,7,-15360.4601035681,-598.435885212283,2
828dc4e3-4c5d-47ad-be42-24913dc21ea8,7,-15354.0464427681,-546.810616212284,25
02638999-9753-42a7-b77c-3c10be06563a,7,-15341.2685115681,-568.905871212283,1
a539ca2f-9814-44cb-947b-294884051c4e,7,-15303.3153548681,-574.410993212283,57
3eba1064-49e9-468f-9d92-a2de6912d78e,7,-15250.7474822681,-526.854549212283,28
c0352f17-8b12-4f5f-95d4-7a2839e9e4c3,7,-15245.2385328681,-611.043261212284,25
48cbc34b-42f1-44da-9cbc-7c9ae3c19df7,7,-15217.7179954681,-639.623356212283,1
1a0becde-9188-4bb1-ad4f-91a8a8889748,7,-15199.2420308681,-637.286169212283,11
41dabb8c-12f7-4c70-8619-ca6b40a8cd36,7,-15294.4700525681,-651.493153212283,1
7a2bdfb3-8c65-4bdc-b45f-ce72614a766f,7,-15376.5346463681,-352.438963212283,31
9ffeae60-8b2a-4097-b256-f283c3582634,7,-15377.2855449681,-286.371813212284,2
bd39d2be-a03d-4b96-bef3-00867ba3d75b,7,-15377.6960907681,-302.861685212283,46
05e2a09a-dab1-4979-bd4c-d4a0e8013f08,7,-15374.2318809681,-436.706507212283,1
e07fef46-a439-4cbc-9999-506cb200aacd,7,-15370.5058787681,-330.117849212283,8
2e9d322b-a617-40eb-8859-6a0d98312f9a,7,-15360.2155929681,-303.287087212283,31
6c53e17f-264f-40ee-97a5-7cf6be8a68db,7,-15357.8350396681,-443.927454212283,1
04d8ecbd-565f-4a1f-9b06-54547e4e2d92,7,-15358.4736870681,-294.953298212283,33
